label,youtube_id,time_start,time_end,split,is_cc
air drumming,-VtLx-mcPds,12,22,train,0
air drumming,-eGnPDG5Pxs,53,63,train,0
air drumming,-fTmHyOG-CY,0,10,train,0
air drumming,-ni1UWaBmL0,56,66,train,0
air drumming,03V2idM7_KY,3,13,train,0
air drumming,10dZYe23HQs,13,23,train,0
air drumming,1SqA6WVJDdI,3,13,train,0
air drumming,3N9LxIDyfMk,8,18,train,0
air drumming,3_gfKDp_zEU,83,93,train,0
air drumming,4CMGzdZVb1Q,2,12,train,0
air drumming,4UE45KdT8Ro,18,28,train,0
air drumming,52ZCXL3QmYY,1,11,train,0
air drumming,5QMYLSXGvz0,20,30,train,0
air drumming,5tF9Rt2uFtw,94,104,train,0
air drumming,6Gy57GeeZKE,153,163,train,0
air drumming,76YTeOlkD2Q,7,17,train,0
air drumming,79qJ7wn1_NQ,129,139,train,0
air drumming,7cgBBCMg-GQ,27,37,train,0
air drumming,8YiKqkoDIBA,16,26,train,0
air drumming,BAoRR5iRH-0,7,17,train,0
air drumming,CT0uGx3JkY0,2,12,train,0
air drumming,CzRJK98tWk4,14,24,train,0
air drumming,D-fJVr2n6Ck,28,38,train,0
air drumming,DcwyDVypfYg,0,10,val,0
air drumming,Fekzzm7ur-0,37,47,train,0
air drumming,HlI6mmtHUhg,48,58,train,0
air drumming,I8eL7H3-Yao,48,58,train,0
air drumming,IIMwUp0sU3E,4,14,train,0
air drumming,IoJU5fiTuM8,1,11,train,0
air drumming,KWZJMByXJtk,82,92,train,0
air drumming,L2Z_gqdyiM0,243,253,train,0
air drumming,Lkst0eNWRBo,2,12,train,0
air drumming,MQNE0K824PU,135,145,train,0
air drumming,MTEX7ImU8y4,0,10,train,0
air drumming,N7CmY7b_xrY,0,10,train,0
air drumming,NAeqtHLj8_g,2,12,train,0
air drumming,Nl39TLpY7EI,2,12,train,0
air drumming,OsZ-e_B92gs,59,69,train,0
air drumming,P_ixyWoLfi0,14,24,train,0
air drumming,QLq-TKI2Xkw,1,11,train,0
air drumming,RJs_bhyxHiI,226,236,train,0
air drumming,RmxMP842fdc,25,35,train,0
air drumming,SEO2SQcpXlw,13,23,train,0
air drumming,StHeux9gEXg,25,35,train,0
air drumming,TBbyWBQ_fIU,37,47,train,0
air drumming,UZDXOrI8il0,99,109,val,0
air drumming,UgCagXscwMQ,2,12,train,0
air drumming,WTK2JqiagGM,1,11,train,0
air drumming,X3in3tZ-nCU,30,40,train,0
air drumming,XRkdyJoNCxw,10,20,train,0
air drumming,Y7rWqp9N3Ag,3,13,train,0
air drumming,YgUI7jJ54LM,134,144,train,0
air drumming,Zv_3WVKyQ3k,279,289,train,0
air drumming,ZxZrnLcJ4QU,21,31,train,0
air drumming,a1F9HwzaYoY,93,103,train,0
air drumming,aYALfME68Kk,26,36,train,0
air drumming,aq8ZkVaHS7A,4,14,train,0
air drumming,b5m7pUO7VI0,36,46,train,0
air drumming,bwPsnumcvXk,7,17,train,0
air drumming,c8JskSpXYYY,2,12,train,0
air drumming,cTKDD5kdFqw,243,253,train,0
air drumming,cpKzMgJjnYk,2,12,train,0
air drumming,daZAOgr-M1A,89,99,train,0
air drumming,flcMroq0mMw,24,34,train,0
air drumming,fmlhv8DsZRE,15,25,train,0
air drumming,gSVk6gA87zo,50,60,train,0
air drumming,hKH2vFQwd9I,0,10,train,0
air drumming,hf1KWEy7taM,1,11,train,0
air drumming,if6Z2oPwK-8,57,67,train,0
air drumming,ij99zbODjx8,2,12,train,0
air drumming,jbPqH2OFdjc,0,10,train,0
air drumming,jcQ6ZwnO_Ho,96,106,train,0
air drumming,k_jE32ceRBI,62,72,train,0
air drumming,l4-hl9T7vek,8,18,train,0
air drumming,m7Gn2VhYw4g,73,83,train,0
air drumming,m7ZoEb99Pbg,176,186,train,0
air drumming,n8zG2yDTteU,10,20,train,0
air drumming,nEUB8BMtRVQ,72,82,train,0
air drumming,nd9oT-s_ISI,4,14,val,0
air drumming,ocKTg61XRpk,67,77,train,0
air drumming,ojHgiS1B4II,31,41,train,0
air drumming,pPcU1vYF0Uw,72,82,train,0
air drumming,q71g0BRsP58,2,12,train,0
air drumming,qe3rX0zNDOY,321,331,train,0
air drumming,sICsHY4bhVw,1,11,train,0
air drumming,sJtf3VwEth8,72,82,train,0
air drumming,t42tRaMoscc,23,33,train,0
air drumming,t8H7rDVhJgw,3,13,train,0
air drumming,tQMmGBsdRKw,193,203,train,0
air drumming,tgBhEqp9IEw,28,38,train,0
air drumming,uKJ2kO43Px4,24,34,train,0
air drumming,uuZVcIpflcA,116,126,train,0
air drumming,vKBFH7opCcw,3,13,train,0
air drumming,wO9odHj7Ukw,26,36,val,0
air drumming,wfRm9DmvNQY,20,30,train,0
air drumming,xjxixNPgoEs,4,14,train,0
air drumming,y3tc_T-gL4c,42,52,train,0
air drumming,ymKLyVLJ9nU,8,18,train,0
air drumming,YcoC4lDIrPU,6,16,train,0
air drumming,z3eOdxD9OMA,36,46,train,0
arm wrestling,-pyI_lAbB9k,309,319,train,0
arm wrestling,0DwdpkupKhc,42,52,train,0
arm wrestling,1LYbyjgFvOY,0,10,train,0
arm wrestling,1VxqcNu3t5U,245,255,train,0
arm wrestling,1etMIbKfiUE,151,161,train,0
arm wrestling,1ooooufCJDI,133,143,train,0
arm wrestling,1pLh46J_1Ss,45,55,train,0
arm wrestling,27yWHIUhzAs,222,232,train,0
arm wrestling,2EkoOW8LhQM,4,14,train,0
arm wrestling,30DRQR_TSGU,0,10,train,0
arm wrestling,4kA0Nz1NYQY,85,95,train,0
arm wrestling,5aiE8HUb-mw,4,14,train,0
arm wrestling,5d-dJ2ixX0M,4,14,val,0
arm wrestling,5fbWhUMiRoc,49,59,train,0
arm wrestling,7BrNPOAcDfY,5,15,train,0
arm wrestling,82kS4pXklUs,192,202,train,0
arm wrestling,85BHQBF-f9s,14,24,val,0
arm wrestling,8IYgKVeqv38,7,17,train,0
arm wrestling,8YbygYLV7sw,29,39,train,0
arm wrestling,9Fi7MVRNdZM,14,24,train,0
arm wrestling,9XYj9XOy-RA,0,10,train,0
arm wrestling,9ebOhM7gj-w,1,11,train,0
arm wrestling,BR_xexuO7Ac,19,29,val,0
arm wrestling,BwXTaoZRFC0,2,12,train,0
arm wrestling,CFz0_1Nn8kQ,6,16,train,0
arm wrestling,COHMrHPUXnE,19,29,train,0
arm wrestling,DLO6F1FuvaU,17,27,val,0
arm wrestling,DwyINgbZPMg,1,11,train,0
arm wrestling,GbCB7pzRSHg,0,10,train,0
arm wrestling,HbrKfRRhsM8,0,10,train,0
arm wrestling,HvIKsQ4sChQ,2,12,train,0
arm wrestling,J3XgaL7vpGs,8,18,train,0
arm wrestling,JXsWp2VLDYE,40,50,train,0
arm wrestling,JjX0jCJ8RbY,7,17,train,0
arm wrestling,Jjj9kycrbdw,64,74,train,0
arm wrestling,KqyIv-_xrO8,4,14,train,0
arm wrestling,M9CI97sOD4I,12,22,train,0
arm wrestling,MIoMro8YqBU,2,12,train,0
arm wrestling,MM2tgvmqPbw,137,147,train,0
arm wrestling,Ma3cTI6kLK0,74,84,train,0
arm wrestling,N4CvM2liJbA,43,53,train,0
arm wrestling,NMN5nRTVmzo,3,13,train,0
arm wrestling,NgCVJBsQKoI,1,11,val,0
arm wrestling,NjQT5y1dRB4,58,68,train,0
arm wrestling,P-XWIJpel9I,1,11,train,0
arm wrestling,PG6zKsuEIIA,15,25,train,0
arm wrestling,Pb83qmrEvcs,0,10,train,0
arm wrestling,SSqrju2LHIE,110,120,train,0
arm wrestling,StlGI-EdTfE,15,25,train,0
arm wrestling,TKzpp1YaFdI,21,31,val,0
